UserId,DateOfBirthId,GeoId,Gender
17397,birth_538835,1,1
95904,birth_538835,2,2
35717,birth_538835,3,1
67433,birth_538835,4,2
90547,birth_538835,5,1
17274,birth_538835,6,2
52103,birth_538835,7,2
20895,birth_538835,8,2
36282,birth_538835,9,2
75390,birth_538835,10,1
110588,birth_538835,11,2
101341,birth_538835,12,1
51816,birth_538835,13,1
25796,birth_538835,14,2
51463,birth_538835,1,2
62084,birth_538835,15,2
24191,birth_538835,16,1
42267,birth_538835,17,2
61580,birth_538835,18,1
868,birth_538835,19,2
95519,birth_538835,20,1
94587,birth_538835,21,1
114938,birth_538835,22,1
20772,birth_538835,23,1
111357,birth_538835,24,2
105942,birth_538835,25,1
89045,birth_538835,26,1
109993,birth_538835,27,1
110402,birth_538835,21,2
29771,birth_538835,28,2
58289,birth_538835,29,2
65920,birth_538835,30,2
79095,birth_538835,31,2
115221,birth_538835,32,1
46514,birth_538835,33,2
23838,birth_538835,32,2
86212,birth_538835,10,1
74172,birth_538835,25,1
15107,birth_538835,30,2
3118,birth_538835,34,2
118099,birth_538835,8,1
110454,birth_538835,26,2
89441,birth_538835,35,2
51768,birth_538835,10,2
38886,birth_538835,36,1
31491,birth_538835,17,1
7403,birth_538835,37,1
14017,birth_538835,34,2
58689,birth_538835,38,1
68308,birth_538835,26,2
79189,birth_538835,5,2
11716,birth_538835,21,1
43405,birth_538835,19,2
89908,birth_538835,36,1
15120,birth_538835,39,1
47887,birth_538835,40,2
34400,birth_538835,41,1
26439,birth_538835,18,2
49472,birth_538835,14,2
47629,birth_538835,23,2
10010,birth_538835,42,1
92222,birth_538835,2,2
113435,birth_538835,5,2
10401,birth_538835,43,2
26604,birth_538835,44,2
86236,birth_538835,45,1
63822,birth_538835,11,2
92030,birth_538835,44,1
26951,birth_538835,24,1
28330,birth_538835,17,2
44848,birth_538835,46,2
70248,birth_538835,11,1
61670,birth_538835,24,2
66841,birth_538835,47,1
75849,birth_538835,48,2
86949,birth_538835,29,1
37970,birth_538835,49,2
8383,birth_538835,44,2
22268,birth_538835,4,2
111558,birth_538835,3,1
3684,birth_538835,27,2
102487,birth_538835,43,1
92512,birth_538835,50,1
27866,birth_538835,8,1
61163,birth_538835,39,2
66556,birth_538835,23,2
27812,birth_538835,4,2
98925,birth_538835,13,1
71955,birth_538835,48,2
8390,birth_538835,35,2
15332,birth_538835,29,2
71788,birth_538835,34,1
21917,birth_538835,3,1
113485,birth_538835,24,2
48065,birth_538835,11,1
9061,birth_538835,22,1
96080,birth_538835,18,2
59072,birth_538835,41,1
67797,birth_538835,36,1
97595,birth_538835,39,1
27349,birth_538835,51,2
257,birth_538835,52,1
18982,birth_538835,26,2
60296,birth_538835,1,2
81562,birth_538835,49,2
88388,birth_538835,20,1
64331,birth_538835,44,1
11028,birth_538835,24,1
49698,birth_538835,4,2
94882,birth_538835,53,2
35669,birth_538835,54,1
74282,birth_538835,43,2
30350,birth_538835,11,2
62630,birth_538835,1,1
35390,birth_538835,18,2
105783,birth_538835,55,2
110212,birth_538835,45,1
94216,birth_538835,40,1
16713,birth_538835,10,1
21119,birth_538835,30,2
29541,birth_538835,44,2
66045,birth_538835,9,2
35460,birth_538835,6,2
24887,birth_538835,17,1
331,birth_538835,23,2
1458,birth_538835,29,2
39413,birth_538835,53,1
43979,birth_538835,25,2
57869,birth_538835,34,1
81214,birth_538835,26,2
1871,birth_538835,38,2
52053,birth_538835,39,2
109694,birth_538835,21,2
8982,birth_538835,52,1
42735,birth_538835,5,1
64991,birth_538835,56,2
100227,birth_538835,11,2
50993,birth_538835,49,2
10538,birth_538835,39,2
5575,birth_538835,57,1
29633,birth_538835,24,2
113059,birth_538835,8,1
87730,birth_538835,58,1
12653,birth_538835,42,2
30736,birth_538835,26,2
20316,birth_538835,49,1
94785,birth_538835,30,1
85217,birth_538835,35,1
7049,birth_538835,37,2
22319,birth_538835,3,2
4314,birth_538835,34,2
90576,birth_538835,23,1
67409,birth_538835,51,1
3533,birth_538835,21,2
98258,birth_538835,8,1
27646,birth_538835,59,1
81551,birth_538835,29,1
112040,birth_538835,6,1
49874,birth_538835,25,1
46345,birth_538835,58,1
42289,birth_538835,17,2
32886,birth_538835,6,2
101807,birth_538835,28,2
111085,birth_538835,30,2
39405,birth_538835,54,2
104381,birth_538835,44,1
42944,birth_538835,52,2
109449,birth_538835,18,1
18149,birth_538835,14,1
78402,birth_538835,33,1
87568,birth_538835,32,1
61465,birth_538835,17,1
8283,birth_538835,43,1
110445,birth_538835,1,1
58858,birth_538835,40,2
96277,birth_538835,28,1
31992,birth_538835,21,2
48262,birth_538835,30,1
70698,birth_538835,24,2
43427,birth_538835,60,1
118066,birth_538835,60,1
8829,birth_538835,52,1
31326,birth_538835,13,1
52807,birth_538835,61,1
10435,birth_538835,19,1
111054,birth_538835,19,2
100746,birth_538835,32,2
12322,birth_538835,35,1
46127,birth_538835,19,1
24215,birth_538835,39,1
110821,birth_538835,5,2
69015,birth_538835,11,1
50035,birth_538835,26,1
109387,birth_538835,28,1
60919,birth_538835,41,2
40873,birth_538835,15,2
48443,birth_538835,23,2
1229,birth_538835,14,1
74476,birth_538835,36,2
102681,birth_538835,58,2
60078,birth_538835,52,2
30056,birth_538835,43,2
109277,birth_538835,30,2
42741,birth_538835,28,2
33589,birth_538835,34,2
86578,birth_538835,25,2
53611,birth_538835,8,2
118832,birth_538835,35,2
69440,birth_538835,51,2
92563,birth_538835,62,1
77890,birth_538835,3,1
20863,birth_538835,63,1
111804,birth_538835,64,1
110999,birth_538835,49,2
9208,birth_538835,24,1
50765,birth_538835,11,2
5270,birth_538835,10,1
1413,birth_538835,11,2
28502,birth_538835,11,1
887,birth_538835,29,2
57078,birth_538835,11,2
1624,birth_538835,16,1
118433,birth_538835,27,2
63188,birth_538835,15,2
72884,birth_538835,52,2
27339,birth_538835,22,2
41154,birth_538835,55,1
63817,birth_538835,29,1
31333,birth_538835,46,1
12244,birth_538835,8,2
66312,birth_538835,64,2
18976,birth_538835,48,2
24225,birth_538835,61,1
81055,birth_538835,51,2
96532,birth_538835,34,2
112045,birth_538835,57,2
37224,birth_538835,51,1
107781,birth_538835,3,1
16399,birth_538835,11,1
68953,birth_538835,64,1
51205,birth_538835,21,1
64518,birth_538835,19,2
107745,birth_538835,52,1
101880,birth_538835,27,2
57912,birth_538835,65,1
5330,birth_538835,31,2
47837,birth_538835,14,1
79419,birth_538835,10,2
109578,birth_538835,17,1
77064,birth_538835,40,2
73738,birth_538835,66,1
68749,birth_538835,8,1
49317,birth_538835,8,1
28548,birth_538835,55,2
58407,birth_538835,3,2
21600,birth_538835,22,1
67902,birth_538835,9,1
60922,birth_538835,51,1
3995,birth_538835,67,1
50247,birth_538835,3,2
24594,birth_538835,52,2
70392,birth_538835,44,2
65410,birth_538835,10,1
54591,birth_538835,64,2
29615,birth_538835,35,1
48208,birth_538835,51,1
101534,birth_538835,21,1
19811,birth_538835,13,1
62487,birth_538835,25,1
44938,birth_538835,68,2
43111,birth_538835,15,2
107041,birth_538835,58,1
46487,birth_538835,1,1
118965,birth_538835,21,2
68369,birth_538835,12,1
74540,birth_538835,60,1
487,birth_538835,25,1
8812,birth_538835,34,2
96788,birth_538835,41,2
61790,birth_538835,25,2
87134,birth_538835,69,1
21436,birth_538835,11,1
31185,birth_538835,1,1
101642,birth_538835,53,2
73207,birth_538835,43,1
100429,birth_538835,32,1
82159,birth_538835,1,1
68628,birth_538835,66,1
8344,birth_538835,60,1
103522,birth_538835,58,2
55305,birth_538835,26,1
43644,birth_538835,11,1
96135,birth_538835,2,2
52258,birth_538835,6,2
111424,birth_538835,10,1
73164,birth_538835,26,2
83190,birth_538835,1,1
28839,birth_538835,58,1
96467,birth_538835,41,1
16772,birth_538835,25,2
27302,birth_538835,34,2
35635,birth_538835,21,1
78912,birth_538835,9,2
71367,birth_538835,32,1
86917,birth_538835,53,1
2004,birth_538835,17,2
75508,birth_538835,70,2
45511,birth_538835,46,1
34635,birth_538835,71,2
39040,birth_538835,8,2
111476,birth_538835,7,2
68246,birth_538835,52,2
14285,birth_538835,9,2
102776,birth_538835,58,1
52301,birth_538835,21,1
90982,birth_538835,53,2
74386,birth_538835,19,1
38832,birth_538835,44,2
30314,birth_538835,52,1
39290,birth_538835,4,2
67618,birth_538835,44,1
16313,birth_538835,53,2
49549,birth_538835,51,2
79098,birth_538835,27,1
10351,birth_538835,42,1
69208,birth_538835,39,2
13406,birth_538835,26,2
69589,birth_538835,4,1
39544,birth_538835,5,1
37344,birth_538835,56,1
51264,birth_538835,5,1
