Organizationid,GroupId,QuizId,SchemeOfWorkId
1,3833,15391,8409.0
2,5906,15391,8409.0
3,10608,15391,8413.0
4,10883,15391,8408.0
5,8414,15391,8408.0
6,8721,15391,8409.0
7,11684,15391,8408.0
8,989,15391,8413.0
9,10708,15391,8413.0
10,58,15391,8413.0
11,5890,15391,8408.0
12,7816,15391,8413.0
13,1868,15391,8399.0
14,149,15391,8408.0
15,6206,15391,8408.0
16,5026,15391,8408.0
17,2159,4907,8413.0
18,4207,4907,8413.0
19,2493,4907,8413.0
20,11355,6722,8408.0
21,9729,6722,8399.0
22,4584,6722,8399.0
23,4570,6722,8399.0
24,5262,4907,8413.0
25,8414,6722,8408.0
26,6480,6722,8399.0
27,7174,4907,8413.0
28,4166,4907,8413.0
29,482,4907,8413.0
30,6697,4907,8413.0
31,8674,4907,8413.0
32,10224,6722,8408.0
33,9168,4907,8413.0
34,11684,6722,8408.0
35,6010,6722,8399.0
36,5885,4907,8413.0
37,3371,6722,8399.0
38,5981,4907,8413.0
39,11581,4907,8413.0
40,11076,4907,8413.0
41,9190,6722,8399.0
42,4611,4907,8413.0
43,11658,6722,8408.0
44,11509,6722,8408.0
45,5026,6722,8408.0
46,11684,7207,8400.0
47,11355,7207,8399.0
48,3326,7207,8399.0
49,1836,7207,8400.0
50,8721,7207,8400.0
51,8414,7207,8400.0
52,9073,7207,8400.0
53,8411,7207,8399.0
54,11658,7207,8400.0
55,1797,7207,8399.0
56,10224,7207,8400.0
57,11669,7207,8399.0
58,4294,7207,8399.0
59,6480,7207,8399.0
60,10934,7207,8400.0
61,11509,7207,8400.0
62,8613,7207,8399.0
63,6206,7207,8399.0
64,3247,7207,8400.0
65,7125,7207,8400.0
66,6822,16161,8400.0
67,11684,16161,8400.0
68,11355,16161,8400.0
69,8414,16161,8400.0
70,2261,16161,8400.0
71,11339,16161,8400.0
72,9073,16161,8400.0
73,2308,16161,8400.0
74,11669,16161,8399.0
75,4584,16161,8400.0
76,6010,16161,8400.0
77,9729,16161,8400.0
78,4570,16161,8400.0
79,3326,16161,8400.0
80,6480,16161,8400.0
81,8411,16161,8399.0
82,3337,16161,8400.0
83,9190,16161,8400.0
84,1641,16161,8400.0
85,6206,16161,8400.0
86,298,16161,8400.0
87,5026,16161,8400.0
88,10883,6722,8408.0
89,7293,6722,8408.0
90,518,6722,8399.0
91,7303,6722,8399.0
92,2308,6722,8399.0
93,11581,10844,8412.0
94,10558,10844,8412.0
95,11241,10844,8412.0
96,10877,10844,8412.0
97,8674,10844,8412.0
98,10937,10844,8409.0
99,11740,10844,8412.0
100,482,10844,8412.0
101,3808,10844,8409.0
102,11076,10844,8412.0
103,7234,10844,8409.0
104,5404,10844,8412.0
105,2159,10844,8412.0
106,9824,10844,8409.0
107,5262,10844,8412.0
108,5981,10844,8412.0
109,7821,10844,8412.0
110,10589,10844,8412.0
111,6336,10844,8412.0
112,7869,10844,8409.0
113,10790,10844,8409.0
114,5906,10844,8409.0
115,3115,10844,8412.0
116,8710,10844,8409.0
117,5302,10844,8409.0
118,3704,10844,8409.0
119,5885,10844,8412.0
120,125,10844,8409.0
121,8685,10844,8409.0
122,7303,16161,8399.0
123,2429,10844,8412.0
124,1797,16161,8400.0
125,1605,10844,8409.0
126,7092,10844,8409.0
127,2936,10844,8412.0
128,6813,10844,8409.0
129,3661,10844,8409.0
130,7465,16161,8400.0
131,10866,16161,8400.0
132,4207,6729,8412.0
133,1605,6729,8409.0
134,10558,6729,8412.0
135,5437,6729,8409.0
136,11241,6729,8412.0
137,5302,6729,8409.0
138,5262,6729,8412.0
139,9073,6729,8412.0
140,11453,6729,8409.0
141,2159,6729,8412.0
142,9123,6729,8412.0
143,7174,6729,8412.0
144,6336,6729,8409.0
145,11076,6729,8412.0
146,5885,6729,8412.0
147,7092,6729,8409.0
148,5981,6729,8412.0
149,6336,6729,8412.0
150,4863,6729,8409.0
151,857,6729,8412.0
152,9073,15391,8413.0
153,2159,15391,8413.0
154,11684,7188,8400.0
155,11355,7188,8400.0
